id,time,gps_lat,gps_lng,note,jpg_name
1,5/16/2026 6:35,38.544812,-121.741236,A-03: I heard coughing near the middle fan row again this morning. Birds looked quieter than usual and did not move much when staff walked through.,IMG_4419.jpg
2,5/16/2026 7:10,38.545104,-121.740892,B-01: The back side of the house felt warmer than the entrance. Several birds were panting after the temperature started going up.,IMG_4420.jpg
3,5/16/2026 8:25,38.545376,-121.740514,C-02: The litter under the water line is wet and sticky. It looks like one or two drinker nipples may still be dripping.,IMG_4421.jpg
4,5/16/2026 9:40,38.545692,-121.740178,"A-01: Feed pans had more feed left than usual. The birds came to the line slowly, but water intake looked normal.",IMG_4422.jpg
5,5/16/2026 11:05,38.546018,-121.739806,"D-04: Dead bird pickup was higher than yesterday, mostly near the rear half of the house. I could not see an obvious equipment problem.",IMG_4423.jpg
6,5/16/2026 12:30,38.546327,-121.739455,"B-03: The air smelled sharp inside the house. Litter near the drinker line was damp, and the smell got stronger after a few minutes inside.",IMG_4424.jpg
7,5/16/2026 13:15,38.546661,-121.739062,C-05: One fan section made a rough sound during the afternoon check. Airflow felt weaker near the wall-side corner.,IMG_4425.jpg
8,5/16/2026 14:20,38.546934,-121.738701,"A-06: Egg count was lower than expected again today. The belt looked fine, but the back rows seemed lighter than normal.",IMG_4426.jpg
9,5/16/2026 15:45,38.547211,-121.738329,D-02: A few birds were sitting in the corner and barely reacted when staff walked by. No clear injuries were visible.,IMG_4427.jpg
10,5/16/2026 16:50,38.547488,-121.737964,B-05: One feed line section did not fill evenly. Birds crowded around the nearby pans while some pans stayed almost empty.,IMG_4428.jpg
